cues,outcomes
g_a_r_r_e_t,m
k_y_r_i_e,f
d_e_r_o_n,m
d_o_n_t_e,m
s_t_e_r_l_i_n_g,m
n_i_k_o_l_e,f
d_o_y_l_e,m
c_a_t_h_l_e_e_n,f
b_r_i_t_t,m
k_r_i_s_t_i_a_n,m
s_a_n_d_r_a,m
k_h_a_l_i_l,m
a_l_b_y,m
o_c_t_a_v_e,m
h_u_n_g,m
t_o_l_l_i_e,m
c_a_m_i_s_h_a,f
k_i_e_f_e_r,m
s_t_e_f_a_n,m
h_a_i_l_e_e,f
d_e_s_t_i_n_e_e,f
r_o_c_k,m
m_c_k_i_n_l_e_y,m
c_h_i_p,m
m_a_k_a_l_a,f
c_r_e_e_d,m
r_e_n_e,m
e_l_o_d_i_e,f
l_e_t_t_i_e,f
p_a_y_t_o_n,m
t_i_m_m_i_e,m
m_a_s_a_o,m
r_e_i_d,m
d_a_n_y_e_l,f
c_h_a_n_t_e,f
i_r_v_a,f
a_l_l_a,f
e_a_r_l_e_n_e,f
d_o_n_n_i_e,m
j_a_k_o_b_e,m
e_m_e_l_i_e,f
s_h_a_q_u_a_n_a,f
g_i_f_f_o_r_d,m
a_r_d_i_s,f
c_e_i_l,f
h_i_l_l_a_r_y,m
l_u,f
h_a_n_s_o_n,m
b_e_a_d_i_e,f
d_a_n_y_e_l_l_e,f
m_a_r_c_e_l_i_n_a,f
v_i_r_g_l_e,m
a_n_d_e_r_s_o_n,m
r_e_u_b_e_n,m
l_u_r_l_i_n_e,f
r_a_m_o_n,m
d_e_n_i_s,m
a_g_u_s_t_a,f
e_t_h_e_r,f
h_u_b_b_a_r_d,m
j_o_h_n_p_a_u_l,m
d_e_l_m_e_r,m
e_v_i_t_a,f
j_i_l_l_i_a_n,f
c_h_a_y_a,f
p_a_t_r_i_c_e,f
l_i_d_a,f
s_e_l_m_a,f
v_a_n_n_i_e,f
c_o_l_l_i_n,m
k_i_p_p,m
o_l_e_n_a,f
m_a_d_d_e_n,m
r_o_x_a_n_n,f
e_l_y,m
d_r_a_k_e,m
d_e_n_i_t_a,f
j_a_z_m_i_n_e,f
l_o_l_i_t_a,f
i_b_r_a_h_i_m,m
d_o_r_a_t_h_e_a,f
n_i_n_a,f
m_e_g,f
d_j_u_a_n_a,f
g_e_o_v_a_n_n_i,m
j_o_h_a_n,m
k_e_r_w_i_n,m
p_a_t_t_y,f
s_h_i_r_l_i_e,f
l_e_t_t_a,f
l_e_s_t_e_r,m
t_i_m_m_o_t_h_y,m
a_u_d_r_e_y,m
t_a_y_s_h_a_u_n,m
b_e_t_h_a,f
p_o_r_t_i_a,f
c_o_u_r_t_l_a_n_d,m
a_n_t_o_n,m
m_i_l_l_i_e,f
a_t_h_e_n_a,f
k_y_l_e,m
e_m_e_l_y,f
o_n_n_i_e,f
t_a_m_m_i_e,f
s_u_m_m_e_r,f
j_a_y_l_i_n,m
r_o_e_n_a,f
s_h_e_r_y_l_l,f
e_r_l_a,f
s_h_e_r_r_e_e,f
i_d_e_l_l,f
n_i_c_h_o_l_e,f
n_i_c_h_o_l,f
m_i_r_e_y_a,f
k_a_c_y,f
a_l_i_s_h_a,f
m_a_r_l_a_n_a,f
c_h_a_r_l_e_n_e,f
b_l_a_n_c_h_i_e,f
j_a_y_c_i_e,f
h_a_l_i,f
c_h_r_i_s_t_i_o_n,m
d_u_s_t_y,m
j_a_r_r_e_d,m
o_u_i_d_a,f
h_a_m_p,m
a_l_e_x,m
e_l_m_e_r,m
g_u_t_h_r_i_e,m
m_a_u_r_i_c_i_o,m
d_a_r_y_n,m
b_u_f_o_r_d,m
e_n_o_c_h,m
m_a_k_e_n_z_i_e,f
g_u_i_l_f_o_r_d,m
w_i_l_d_a,f
j_e_r_e_d,m
l_e_o_r_a,f
c_a_i_n,m
p_a_u_l_e_t_t_a,f
d_e_e_n_a,f
c_h_a_r_l_s_i_e,f
w_a_l_d_o,m
m_i_k_a_y_l_a,f
d_a_w_s_o_n,m
b_e_s_s_e,f
s_p_e_n_s_e_r,m
r_o_s_a_l_i_a,f
j_e_r_r_o_l_d,m
p_a_y_t_e_n,f
f_r_a_n_c_e_s,m
j_o_a_q_u_i_n,m
r_o_m_i_e,m
b_y_n_u_m,m
t_i_n_n_i_e,f
c_o_e_n,m
e_v_a_n_g_e_l_i_n_e,f
w_i_l_b_u_r_n,m
m_a_r_n_i,f
a_l_v_i_n_a,f
t_r_a_c_i_e,f
m_a_r_l_e_n_e,f
j_a_k_o_b,m
j_a_r_e_t_t,m
c_a_r_r_i,f
p_h_i_l_l_i_s,f
t_r_i_s_t_a_n,m
m_i_l_a_g_r_o_s,f
j_o_s_e_l_y_n,f
h_a_r_l_i_e,m
c_h_a_d_d,m
g_o_r_d_o_n,m
k_o_l_t_e_n,m
p_a_t_r_i_c_a,f
t_a_n_g_e_l_a,f
p_h_i_l_o,m
r_o_w_l_a_n_d,m
a_l_a_n,m
t_i_t_u_s,m
k_a_t_h_i_e,f
a_u_b_r_a,m
a_n_n_a_b_e_l_l_a,f
s_h_a_n_i_c_e,f
a_n_t_o_i_n_e_t_t_e,f
a_u_d_r_y,f
c_h_r_i_s,m
j_o_e_s_e_p_h,m
i_v_e_t_t_e,f
p_a_s_q_u_a_l_e,m
c_a_r_o_l_e_e,f
d_a_r_c_i_e,f
n_a_t_a_l_y_a,f
n_a_t_a_l_y,f
f_e_r_m_a_n,m
d_o_n_t_a_e,m
a_u_t_h_e_r,m
d_e_n_v_e_r,m
j_a_n_e_t,m
c_a_r_r_y,f
e_r_l_i_n_d_a,f
d_a_y_a_m_i,f
p_i_n_k,m
i_l_o_n_a,f
f_l_o_s_s_i_e,f
v_i_t_o,m
a_l_v_e_r_t_a,f
n_o_r_i_t_a,f
j_a_e_l_y_n_n,f
m_a_y_a,f
l_e_v_i,m
m_a_h_a_l_i_e,f
k_e_l_a_n,m
s_u_z_i_e,f
m_i_r_a_n_d_a,f
c_a_r_m_e_l,m
h_e_b_e_r,m
n_o_r_e_e_n,f
v_e_l_v_a,f
p_o_r_f_i_r_i_o,m
m_a_x_i_m,m
d_a_u_n_t_e,m
l_o_r_i_s,f
g_r_a_y,m
l_a_v_e_r_n_a,f
m_i_n_e_r,m
k_a_t_h_r_y_n_e,f
m_o_h_a_m_m_e_d,m
a_r_m_i_n_t_a,f
t_i_f_f_a_n_i_e,f
v_i_c,m
c_l_e_m_i_e,f
k_y_l_e_r,m
n_a_t_h_a_n_i_e_l,m
v_i_c_t_o_r,m
d_a_r_r_i_e_n,m
a_d_m_i_r_a_l,m
r_e_i_n_h_o_l_d,m
s_a_n_d_y,m
o_s_v_a_l_d_o,m
e_r_w_i_n,m
m_i_s_t_i_e,f
l_o_n_g,m
j_e_n_n_i_n_g_s,m
c_l_a_b_e,m
g_l_e_n_d_o_r_a,f
e_n_i_d,f
c_a_r_l_o_t_t_a,f
g_e_e,m
p_a_t_r_i_c,m
j_u_l_i_e,f
k_a_l_a,f
i_m_o,f
r_o_s_s_i_e,m
e_u_l_a,m
d_a_r_e_n,m
l_o_r_e_n_z,m
l_e_s_t_a,f
c_r_i_s_s_y,f
r_a_s_h_a_w_n,m
h_e_l_l_e_n,f
m_a_x_i_n_e,f
r_o_s_e_v_e_l_t,m
a_t_t_i_l_i_o,m
a_b_e_l_a_r_d_o,m
e_b_b_a,f
s_o_n_j_a,f
z_e_b_u_l_o_n,m
j_a_v_e_n,m
n_e_e_l_y,m
i_z_o_l_a,f
e_d_w,m
c_r_i_s_t_y,f
k_e_n_j_i,m
i_l_l_y_a,m
n_o_b_i_e,f
d_e_l_p_h_i_a,f
f_r_a_n_c_i_s_c_a,f
n_e_l_l,f
a_r_b_i_e,m
m_a_t_t_h_e_w,m
d_i_c_k_i_e,m
a_n_g_e_l_e_s,f
d_o_n_a_c_i_a_n_o,m
a_l_v_i_s,m
m_a_r_l_e_e,f
e_m_a_l_i_n_e,f
m_a_r_g_e_r_e_t,f
m_a_c_h_e_l_l_e,f
m_a_d_i_s_o_n,m
a_r_d_y_c_e,f
l_e_x_i_s,f
c_h_a_r_l_e,m
a_n_t_o_n_i_n_a,f
c_l_a_r_a_b_e_l_l_e,f
j_o_r_g_e,m
l_a_t_o_y_a,f
k_a_m_i_l_a_h,f
k_o_r_e_y,m
o_m_i_e,f
