max_len,embedding_input,embedding_dim,epochs,batch_size,hidden_neuron,lr,dropout,optimizer,losses,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
11,onehot,0,1,16,32,0.0002,0,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6798711092071196,0.6404867,0.6459853,0.63053095,0.6360789,0.6633813381195068,0.6540178656578064,0.6533496379852295,0.6577380895614624,0.6553873419761658
11,onehot,0,2,16,32,0.0002,0,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6209451092027984,0.66085917,0.6608059,0.662795,0.6616333,0.6291884183883667,0.6741071343421936,0.6753034591674805,0.6741071343421936,0.6744073033332825
11,onehot,0,3,16,32,0.0002,0,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.5867036275104084,0.70280236,0.7031727,0.70280236,0.7027092,0.5722774863243103,0.6934523582458496,0.6922793388366699,0.6979166865348816,0.6948356032371521
11,onehot,0,4,16,32,0.0002,0,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.5560020688360772,0.72382003,0.7239732,0.7236357,0.7235579,0.5023199915885925,0.722470223903656,0.7220471501350403,0.7247023582458496,0.7229655385017395
11,onehot,0,5,16,32,0.0002,0,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.5383500796152075,0.7327618,0.7338057,0.7310103,0.7322319,0.45457392930984497,0.738095223903656,0.7382411956787109,0.738095223903656,0.7380617260932922
11,onehot,0,6,16,32,0.0002,0,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.5288064200266273,0.7417035,0.7424085,0.74059737,0.74136543,0.4242832660675049,0.7351190447807312,0.7362511157989502,0.7321428656578064,0.7340977787971497
11,onehot,0,7,16,32,0.0002,0,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.5223557816757917,0.74806416,0.74828535,0.7474189,0.74776745,0.4027026891708374,0.7403273582458496,0.7403302788734436,0.7410714030265808,0.7405840158462524
11,onehot,0,8,16,32,0.0002,0,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.5173488301513469,0.75184363,0.75221765,0.75092185,0.75149256,0.38591596484184265,0.7477678656578064,0.7481676340103149,0.7470238208770752,0.7474484443664551
11,onehot,0,9,16,32,0.0002,0,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.5131651365299844,0.7527655,0.752491,0.7533186,0.75282687,0.37214553356170654,0.75,0.7496090531349182,0.7514880895614624,0.7504145503044128
11,onehot,0,10,16,32,0.0002,0,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.5095076790865192,0.75553095,0.75543356,0.7553466,0.75535095,0.36043933033943176,0.7552083134651184,0.7544584274291992,0.757440447807312,0.7558359503746033
