,cues,outcomes
0,they_the_language_of_clothes_fluently,PastProg
1,yet_the_environmental_consequences_of_unchecked_population_growth_devastating,FutureSimple
2,william_and_harry_with_charles_and_the_rest_of_the_royal_family,FutureSimple
3,businessmen_there_and_back_in_a_day,PresentProg
4,pleas_from_the_prince_of_wales_for_corporate_help_to_rebuild_the_inner_cities_not_on_deaf_ears,PresentPerf
5,she_prints_widely_in_exhibitions_in_britain_and_the_usa,PresentPerf
6,the_islamic_republic_in_one_fundamental_respect_since_the_death_of_ayatollah_khomeini_two_years_ago,PresentPerf
7,perhaps_it_all_in_her_imagination_fuelled_by_her_own_desires,PastPerf
8,most_of_the_people_in_the_eastern_region,PresentSimple
9,the_brownie_guider_brenda_by_the_arm,PastSimple
10,the_house_in_fitzwilliam_street_at_cambridge_in_a_state_of_shock,PastSimple
11,so_there_a_very_considerable_backward_step,PresentSimple
12,indeed_why_he_so_to_the_case,PastSimple
13,the_children_and_quietened_by_fresh_apprehensions,PastPerf
14,here_land_degradation_due_to_natural_and_cultural_factors_widespread,PresentSimple
15,i_really_just_doing_my_job,PresentSimple
16,since_then_every_issue_of_the_journal_appeals_for_the_release_of_other_prisoners_of_conscience,PresentPerf
17,katherine,PastProg
18,earlier_measures_providing_for_the_elimination_of_the_state_docks_monopoly_and_the_deregulation_of_maritime_transport_air_routes_and_public_transport_not_yet,PastPerf
19,i_this_to_the_boy,PresentPerf
20,bursting_with_spring_health_they_sustenance_from_a_compost_containing_thousands_of_banknotes_and_travellers_cheques,PresentProg
21,such_an_approach_characteristic_of_much_of_the_best_historical_writing_of_the_last_generation_or_so,PresentPerf
22,this_the_message_to_nearly_one_million_schoolchildren_in_new_york_in_the_face_of_unprecedented_outrage,PresentProg
23,this_the_perfect_plane_for_such_work,PresentSimple
24,after_serving_an_apprenticeship_in_formula_three_he_recently_up_as_second_driver_by_dalgety_a_leading_formula_one_team,PastPerf
25,as_though_he_out_and_touched_her,PastPerf
26,i_just_things_away,PresentSimple
27,the_procession_still_the_arena,PastProg
28,horrible,PresentSimple
29,it_never_in_the_red,PresentPerf
30,she_that,PastPerf
31,we_a_few_more_facts_wrong,PresentPerf
32,two_alternative_approaches_to_programme_budgeting_in_the_next_chapter,FutureSimple
33,however_this_circuitry_cheaper,FutureSimple
34,the_trainees_a_basic_level_of_competence_in_english_appropriate_for_their_work,FutureSimple
35,indirect_question_under_question,PresentSimple
36,the_canoes_in_water_and_sinking,PastProg
37,a_new_arts_centre_completion_at_the_south_entrance,PresentProg
38,a_group_of_spectators_like_vultures_on_the_pavement,PastPerf
