cues,outcomes
the_state_television_corporation_and_the_independent_television_network_also,FutureSimple
animals_and_plants_each_other,PresentSimple
it_in_march_the_second_third,FutureSimple
gabriel_on_foot,PastSimple
an_interview_schedule_always_administered_face_to_face,FutureSimple
but_what_to_the_quality_of_the_product,FutureSimple
the_union_all_its_branches_accordingly,PastSimple
so_much_for_his_promised_imitation_of_a_catholic_priest_she_bitterly,PastSimple
it_cooler_in_the_lobby,PastSimple
the_chapel_to_me_the_focal_point_of_our_small_humble_community,PastSimple
some_single_mothers,FutureSimple
well_fucking,PresentSimple
ten_tokens_a_bike_ride_round_the_park_with_one_of_his_parents,PastSimple
they_not_arty_philosophical_essays,PastSimple
britain_and_italy_as_dominant_olympus_partners,PastSimple
primaflora_now_he_you,FutureSimple
apart_from_the_frequent_staff_changes_inherent_in_a_large_team_communication_between_staff_and_between_manager_and_staff_inevitably_very_hard,FutureSimple
many_of_the_potential_suspects_this_impression_of_the_rapist,PresentSimple
that_time_valuable_for_two_reasons,PresentSimple
i_antonio_this_afternoon_very_briefly,PastSimple
through_the_smoke_he_the_balloon_dropping_its_basket_swinging_wildly,PastSimple
you_er_mike_mrs_like_insisting_that_tenant,PresentSimple
the_chances_of_the_imf_organizing_a_major_recycling_programme_poor,PastSimple
his_place_by_the_boathouse_empty,PastSimple
at_least_two_people_according_to_the_government_newspaper_cameroon_tribune,PastSimple
ruthven_lands_forfeited,PastSimple
you_me,PresentSimple
they_obviously_familiar_enemies,PastSimple
bats_not_in_the_same_direction_for_long,PresentSimple
he_a_lot_of_sneezing_who,PresentSimple
these_not_necessarily_a_kind_of_tyranny_imposed_by_men_on_women,PresentSimple
the_relative_index_the_more_common,PresentSimple
he_about_us_to_the_cook,FutureSimple
workshop_museum_also_temporary_art_exhibitions,PresentSimple
the_outsiders_in_the_east_side_of_a_fictional_town,PresentSimple
it_good,PresentSimple
before_looking_at_this_group_i_first_some_general_trends,FutureSimple
they_you_with_their_love,FutureSimple
after_a_long_dormancy_the_american_art_review_publication_this_month,FutureSimple
hardman_lees_and_mellor_professional_journalists,PastSimple
in_fact_the_english_almost_by_the_french_army,PastSimple
these_variables_size_technology_people_purposes_and_environment,FutureSimple
in_practice_we_soon_desktop_videoconferencing_becoming_a_standard_feature_of_computer_communications,FutureSimple
well_the_car_okay,PastSimple
general_finance_all_accommodation_food_facility_and_equipment_hire_for_the_athletes_and_coaches,FutureSimple
in_addition_they_a_rate_of_return_concept_for_direct_comparison_with_the_rate_of_return_on_shares,PastSimple
more_irritatingly_for_reasons_best_known_to_his_ego_the_last_two_untitled_tracks_ten_minutes_into_the_abyss_after_the_last_listed_track_of_the_album,PresentSimple
there_no_way_of_holding_anything_back,PastSimple
there_not_time,FutureSimple
nature_usually_you,FutureSimple
they_both_eyes_watering,PastSimple
and_you_never,PresentSimple
only_traditional_cultivation_techniques_used,PresentSimple
various_benefits_and_equity_sharing_schemes_between_private_developers_and_the_mdc_available_as_part_of_the_initiative,FutureSimple
greece_the_only_ec_member_still_outside_the_mechanism,FutureSimple
that_the_fear,PresentSimple
a_carrier_you_and_other_recruits_into_orbit,FutureSimple
for_girls_the_problem_by_the_concept_of_mothering,PresentSimple
and_fresh_off_the_loom_it,FutureSimple
she_good_in_photos,FutureSimple
the_winner_ackland_sixth_form_college_at_middlesbrough_qualified_for_the_regional_final_which_in_gateshead_next_month,FutureSimple
a_balanced_regime_but_pools_regular_maintenance_too,PresentSimple
publishers_mainstream_sources_of_information_about_software_the_large_publishing_houses_microcomputer_manufacturers_and_software_houses,PresentSimple
the_heavy_atmosphere_finally_by_finn_heading_towards_the_door,PastSimple
her_heart_no_longer_in_the_campaign_against_rose,PastSimple
privately_she_her_doubts_about_the_party,PastSimple
any_young_girl,FutureSimple
the_lost_or_damaged_caravan_then_to_us,FutureSimple
fire_er_chimney_the_windows_open,PresentSimple
a_typical_service_an_item_by_the_band_as_well_as_a_choir_item_and_several_hymns_and_choruses_sung_by_all,PresentSimple
the_poverty_surveys_also_remarkable_in_another_way,PresentSimple
she_steve,PastSimple
it_hardly_worth_your_while_bringing_a_suitcase_all_that_way_just_for_a_weekend,PresentSimple
selling_to_a_specialist_shop_probably_the_simplest_and_most_straightforward_way_to_dispose_of_your_rug_although_the_price_offered_considerably_less_than_its_retail_value,FutureSimple
she_a_couple_of_days_later_with_the_kid,PastSimple
in_other_words_they_an_estimate_of_the_term,FutureSimple
managing_director_finance_and_administration_guinness_plc,PastSimple
