max_len,embedding_input,embedding_dim,epochs,batch_size,hidden_layers,hidden_neuron,lr,dropout,optimizer,losses,activation,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
20,learn,100,1,32,2,32,0.001,0.3,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,1.047667424917221,0.43941668,0.43014184,0.09116667,0.14278026,0.9220095872879028,0.5117607712745667,0.6762673854827881,0.1932123601436615,0.2963979244232178
20,learn,100,2,32,2,32,0.001,0.3,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.9399156530698141,0.55570835,0.6637007,0.32233334,0.42935696,0.9905837178230286,0.5436828136444092,0.6277529001235962,0.32157257199287415,0.4227963984012604
20,learn,100,3,32,2,32,0.001,0.3,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.8439303211371104,0.62041664,0.6999928,0.46716666,0.55802184,1.1103297472000122,0.5265457034111023,0.5748271942138672,0.38508063554763794,0.4597013294696808
20,learn,100,4,32,2,32,0.001,0.3,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.7450109754006068,0.6754583,0.75186497,0.55995834,0.63985175,1.2858449220657349,0.5104166865348816,0.5487871170043945,0.4082661271095276,0.46684110164642334
20,learn,100,5,32,2,32,0.001,0.3,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.6661159062385559,0.7125,0.7844746,0.61720836,0.68918604,1.5174344778060913,0.5040322542190552,0.5307942628860474,0.4183467626571655,0.46688932180404663
20,learn,100,6,32,2,32,0.001,0.3,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.6024005298614502,0.74233335,0.81317115,0.65225,0.7222334,1.8089662790298462,0.49764785170555115,0.5268955230712891,0.42103493213653564,0.4671848714351654
20,learn,100,7,32,2,32,0.001,0.3,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.559227985839049,0.76429164,0.83419216,0.678625,0.7468072,2.0637218952178955,0.5067204236984253,0.5222958922386169,0.3995295763015747,0.4518193006515503
20,learn,100,8,32,2,32,0.001,0.3,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.5194725931684177,0.781125,0.84389305,0.7061667,0.76758116,2.3288960456848145,0.49395161867141724,0.5151325464248657,0.4186827838420868,0.4612177312374115
20,learn,100,9,32,2,32,0.001,0.3,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.49145395477612813,0.794125,0.85273975,0.72170836,0.7804476,2.566467761993408,0.4848790466785431,0.5201796889305115,0.4230510890483856,0.46570250391960144
20,learn,100,10,32,2,32,0.001,0.3,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.469371789753437,0.803625,0.85981154,0.73779166,0.79289395,2.406127691268921,0.4902553856372833,0.5025243759155273,0.41431450843811035,0.4534934163093567
