max_len,embedding_input,embedding_dim,epochs,batch_size,hidden_neuron,lr,dropout,optimizer,losses,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
20,learn,100,1,128,16,0.001,0.2,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0308011206076106,0.45015875,0.43454564,0.13498496,0.20231777,0.9984930753707886,0.51222825050354,0.6598906517028809,0.22792120277881622,0.337838739156723
20,learn,100,2,128,16,0.001,0.2,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.9444790058594974,0.5424048,0.64369893,0.32139874,0.42697638,0.948773205280304,0.536005437374115,0.6274168491363525,0.32642662525177,0.42868584394454956
20,learn,100,3,128,16,0.001,0.2,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.9014922845809855,0.5794619,0.6548725,0.4097176,0.50321954,0.9400041699409485,0.5319293737411499,0.5977059006690979,0.3743206560611725,0.4598902761936188
20,learn,100,4,128,16,0.001,0.2,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.8769649984364841,0.59479445,0.6660329,0.4472343,0.5343105,0.9648716449737549,0.52004075050354,0.5900102257728577,0.37228259444236755,0.4559817612171173
20,learn,100,5,128,16,0.001,0.2,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.8563537772964028,0.6081634,0.6781821,0.47037935,0.55472875,0.9631061553955078,0.52173912525177,0.5643578767776489,0.39945653080940247,0.467637836933136
20,learn,50,1,16,32,0.0001,0.2,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.060005451043447,0.407875,0.26009846,0.08079167,0.11890453,0.9581323862075806,0.49665775895118713,0.6197890639305115,0.23362299799919128,0.33080288767814636
20,learn,50,2,16,32,0.0001,0.2,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.9748641332387924,0.50916666,0.64171726,0.268625,0.3713269,0.9347518682479858,0.4986630976200104,0.6111443638801575,0.24866309762001038,0.34606337547302246
20,learn,50,3,16,32,0.0001,0.2,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.9522626749674479,0.52904165,0.6599625,0.289375,0.39531443,0.9342473745346069,0.5090240836143494,0.6199951767921448,0.2697192430496216,0.3700502812862396
20,learn,50,4,16,32,0.0001,0.2,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.9413481858174007,0.53683335,0.6692358,0.29720834,0.40421313,0.9224335551261902,0.5050133466720581,0.6342518329620361,0.24598930776119232,0.34811270236968994
20,learn,50,5,16,32,0.0001,0.2,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.9340182954867681,0.54325,0.6783876,0.29808334,0.40642276,0.9320936799049377,0.5053476095199585,0.6251831650733948,0.25768715143203735,0.35874107480049133
